,Country,Date,value
77570,Algeria,01/01/99,7724.05
77571,Algeria,01/01/00,8091.61
77572,Algeria,01/01/01,8414.75
77573,Algeria,01/01/02,8909.56
77574,Algeria,01/01/03,9618.87
77575,Algeria,01/01/04,10174.25
77576,Algeria,01/01/05,10969.24
77577,Algeria,01/01/06,11330.09
77578,Algeria,01/01/07,11840.9
77579,Algeria,01/01/08,12159.37
77580,Algeria,01/01/09,12239.27
77581,Algeria,01/01/10,12607.25
77582,Algeria,01/01/11,12990.35
77583,Algeria,01/01/12,13414.39
77584,Algeria,01/01/13,13744.85
77585,Algeria,01/01/14,14247.63
77586,Algeria,01/01/15,14657.78
77587,Algeria,01/01/16,15030.18
77588,Algeria,01/01/17,15292.74
77589,Angola,01/01/90,2994.95
